review_text,sentiment
Materinya lengkap dan mudah dipahami,2
Instrukturnya menjelaskan dengan sangat jelas,2
Platformnya interaktif dan tidak membosankan,2
Ilmunya sangat bermanfaat untuk dunia kerja,2
Kualitas materinya juara banget,2
Sertifikatnya berguna untuk melamar kerja,2
Harganya sebanding dengan kualitas yang diberikan,2
Sistem pembelajarannya rapi dan terstruktur,2
Aplikasinya mudah digunakan,2
Pelayanannya cepat dan responsif,2
Materinya standar saja tidak terlalu istimewa,1
Beberapa modul cukup membantu tapi ada yang kurang jelas,1
Platformnya lumayan tapi kadang lambat,1
Materinya oke untuk pemula,1
Instrukturnya cukup baik namun kurang detail,1
Fitur yang disediakan cukup lengkap,1
Harganya sesuai dengan fasilitas yang didapat,1
Tidak buruk tapi juga tidak terlalu bagus,1
Materi bisa dipahami walau perlu belajar tambahan,1
Secara keseluruhan biasa saja,1
Materinya membosankan dan sulit dipahami,0
Instrukturnya kurang jelas saat menjelaskan,0
Aplikasinya sering error dan mengganggu belajar,0
Materinya tidak sesuai dengan deskripsi,0
Pelayanannya lama dan tidak membantu,0
Sertifikatnya tidak terlalu berguna,0
Harga mahal tapi kualitas rendah,0
Banyak bug di platform pembelajaran,0
Saya kecewa dengan kursus ini,0
Pengalaman belajar sangat tidak menyenangkan,0
